asin,title,label,subcategory,price,image_url,fallback_url,src_url,source_dataset
B08P2ZK42P,BAISHENGGT Women's Long Sleeve Buttons Pleated Front Tunic Top Yellow Lines XL,Apparel,,,https://m.media-amazon.com/images/I/51xAEXurYJL._AC_.jpg,https://m.media-amazon.com/images/I/51rPieojm-L._AC_.jpg,https://www.amazon.com/dp/B08P2ZK42P,McAuley-Lab/Amazon-Reviews-2023
B077MQ612G,"JOTW Men's Thermal Underwear Set Warm & Comfy Top and Bottom(Large, Black)",Apparel,,,https://m.media-amazon.com/images/I/01RmK+J4pJL._AC_.gif,,https://www.amazon.com/dp/B077MQ612G,McAuley-Lab/Amazon-Reviews-2023
B09QHJZ85N,ZMPSIISA Women's Summer Off The Shoulder Maxi Dress C-Black,Apparel,,,https://m.media-amazon.com/images/I/31bCTva3rDL._AC_.jpg,https://m.media-amazon.com/images/I/31n70r8pstL._AC_.jpg,https://www.amazon.com/dp/B09QHJZ85N,McAuley-Lab/Amazon-Reviews-2023
B07FR8H8SC,"BTFBM 2019 Women’s One Shoulder Split Bodycon Mermaid Evening Cocktail Long Dress (Wine Red, Large)",Apparel,,,https://m.media-amazon.com/images/I/414n3diBJTL._AC_.jpg,https://m.media-amazon.com/images/I/51feoNmo4rL._AC_.jpg,https://www.amazon.com/dp/B07FR8H8SC,McAuley-Lab/Amazon-Reviews-2023
B01LZRLCHV,"Sunfei Autumn Women Lace Crochet Long Sleeve Shirt Casual Blouse Tops (XL, Pink)",Apparel,,,https://m.media-amazon.com/images/I/01RmK+J4pJL._AC_.gif,,https://www.amazon.com/dp/B01LZRLCHV,McAuley-Lab/Amazon-Reviews-2023
B07YW5X28M,Women's 3/4 Sleeve 1950s Retro Polka Dots Slim Bodycon Pencil Dresses Red Size S,Apparel,,,https://m.media-amazon.com/images/I/311FANYbptL._AC_.jpg,https://m.media-amazon.com/images/I/419cqNHBEiL._AC_.jpg,https://www.amazon.com/dp/B07YW5X28M,McAuley-Lab/Amazon-Reviews-2023
B01BE2VAGA,"Silver Plated Dangling Clip-on ""Tropical Bird"" Bead Charm Pendant",Apparel,,,https://m.media-amazon.com/images/I/41KgEFTBvyL._AC_.jpg,,https://www.amazon.com/dp/B01BE2VAGA,McAuley-Lab/Amazon-Reviews-2023
B07JMQDKYS,Rusaevon Men's 4-Pack Boxer Briefs Comfort Soft Performance Underwear Breathable Cotton Boxer Briefs Medium,Apparel,,,https://m.media-amazon.com/images/I/31crn19o6tL._AC_.jpg,https://m.media-amazon.com/images/I/41qTKcyvhkL._AC_.jpg,https://www.amazon.com/dp/B07JMQDKYS,McAuley-Lab/Amazon-Reviews-2023
B01F35IVS4,"OURS Women's Summer Loose Casual Batwing Short Sleeve Chiffon Top T-Shirt Blouse (L, White)",Apparel,,,https://m.media-amazon.com/images/I/21OLzypOEwL._AC_.jpg,https://m.media-amazon.com/images/I/211MviRZYYL._AC_.jpg,https://www.amazon.com/dp/B01F35IVS4,McAuley-Lab/Amazon-Reviews-2023
B07XY12H8M,9 Pieces Enamel Christmas Brooch Pins Jewelry for Woman Kids Holiday Xmas Gift Party,Apparel,,,https://m.media-amazon.com/images/I/51k6dULSGML._AC_.jpg,https://m.media-amazon.com/images/I/51zJQq0NwLL._AC_.jpg,https://www.amazon.com/dp/B07XY12H8M,McAuley-Lab/Amazon-Reviews-2023
B0B7W1TTMB,KOJOOIN Women's Oktoberfest Dress Costume German Dirndl Dress for Bavarian Oktoberfest Carnival Halloween,Apparel,,58.99,https://m.media-amazon.com/images/I/41TXtKlS0nL._AC_.jpg,https://m.media-amazon.com/images/I/51k9QNQ3UhL._AC_.jpg,https://www.amazon.com/dp/B0B7W1TTMB,McAuley-Lab/Amazon-Reviews-2023
B07R7Q69Z6,WDIRARA Women's High Waist Below The Knee Asymmetrical Skirt for Office Wear Khaki XS,Apparel,,,https://m.media-amazon.com/images/I/41Vz4kjCFuL._AC_.jpg,https://m.media-amazon.com/images/I/411oF2IL67L._AC_.jpg,https://www.amazon.com/dp/B07R7Q69Z6,McAuley-Lab/Amazon-Reviews-2023
B07B8MKSKR,Hycsen Mens Cotton Relaxed Fit Fit Outdoor Camouflage Camo Cargo Shorts-Shallow army-36,Apparel,,,https://m.media-amazon.com/images/I/51enjz6IcDL._AC_.jpg,https://m.media-amazon.com/images/I/51EoHhsxQmL._AC_.jpg,https://www.amazon.com/dp/B07B8MKSKR,McAuley-Lab/Amazon-Reviews-2023
B00ZFP2HL0,Girls Lace Up Jazz Shoes T7302CBLK01.5M Black 1.5 M US Little Kid,Apparel,,,https://m.media-amazon.com/images/I/31LDcNluyGL._AC_.jpg,https://m.media-amazon.com/images/I/31rD-n6QLqL._AC_.jpg,https://www.amazon.com/dp/B00ZFP2HL0,McAuley-Lab/Amazon-Reviews-2023
B01N7KMLHD,"100% Sheep lamb wool warm socks NEBAT. Unisex: white, black, grey (43-46, Grey)",Apparel,,14.5,https://m.media-amazon.com/images/I/51AznGjKXVL._AC_.jpg,,https://www.amazon.com/dp/B01N7KMLHD,McAuley-Lab/Amazon-Reviews-2023
B0928LQHDL,Verdusa Women's One Shoulder Sleeveless Ribbed Knit Crop Top Mint Green XS,Apparel,,,https://m.media-amazon.com/images/I/41susuZKqGL._AC_.jpg,https://m.media-amazon.com/images/I/41vNrFcfccL._AC_.jpg,https://www.amazon.com/dp/B0928LQHDL,McAuley-Lab/Amazon-Reviews-2023
B078WWQV8R,"THE NORTH FACE Women's Half Dome Pullover Hoodie, Deep Blue Heather/Kokomo Green, Small",Apparel,,,https://m.media-amazon.com/images/I/411ucsgTUuL._AC_.jpg,https://m.media-amazon.com/images/I/41NvPrIK7HL._AC_.jpg,https://www.amazon.com/dp/B078WWQV8R,McAuley-Lab/Amazon-Reviews-2023
B01LXTFHIB,RXBC2011 Bee Cufflinks Gift Boxed,Apparel,,,https://m.media-amazon.com/images/I/51JbLn271EL._AC_.jpg,https://m.media-amazon.com/images/I/41Y9+WTznGL._AC_.jpg,https://www.amazon.com/dp/B01LXTFHIB,McAuley-Lab/Amazon-Reviews-2023
B01DP65V0Y,"Urban CoCo Women's Deep V Neck Floral Print Design Flowy Sundress (Small, Light Blue)",Apparel,,,https://m.media-amazon.com/images/I/41Dv4l25wQL._AC_.jpg,https://m.media-amazon.com/images/I/41XRQhJmr1L._AC_.jpg,https://www.amazon.com/dp/B01DP65V0Y,McAuley-Lab/Amazon-Reviews-2023
B011R0O53Y,Angerella Cute Bathing Suits for Women Bandage Bikini Monokini (BKI010-B1-L),Apparel,,,https://m.media-amazon.com/images/I/41noWA9zJUL._AC_.jpg,https://m.media-amazon.com/images/I/31LBoY18Y7L._AC_.jpg,https://www.amazon.com/dp/B011R0O53Y,McAuley-Lab/Amazon-Reviews-2023
B00J512YX6,Kelsi Dagger Women's Nuevo Blue Ankle-High Leather Flat Shoe - 8.5M,Apparel,,,https://m.media-amazon.com/images/I/31vcB11V4bL._AC_.jpg,https://m.media-amazon.com/images/I/21mzwIwjJ6L._AC_.jpg,https://www.amazon.com/dp/B00J512YX6,McAuley-Lab/Amazon-Reviews-2023
B01MY8ESFI,N.egret Faux Bolo Tie Long Choker Necklace Office Jewelry Vintage Black Necklace Gothic Gifts for Women,Apparel,,,https://m.media-amazon.com/images/I/41vVKnUOo5L._AC_.jpg,https://m.media-amazon.com/images/I/51h6QLVb91L._AC_.jpg,https://www.amazon.com/dp/B01MY8ESFI,McAuley-Lab/Amazon-Reviews-2023
B01N0DAT9Q,COACH Delancey - 14502745 Dark Brown/Black One Size,Apparel,,,https://m.media-amazon.com/images/I/517YSjJC6jL._AC_.jpg,https://m.media-amazon.com/images/I/21orpPqk5eL._AC_.jpg,https://www.amazon.com/dp/B01N0DAT9Q,McAuley-Lab/Amazon-Reviews-2023
B07P78JCJL,MEGIR Men's Analogue Chronograph Luminous Quartz Watch with Silicone Band Calendar Fashion Gift for Sport & Business Work (2106 Blue),Apparel,,,https://m.media-amazon.com/images/I/519H97q6m2L._AC_.jpg,https://m.media-amazon.com/images/I/51L7E5GMxDL._AC_.jpg,https://www.amazon.com/dp/B07P78JCJL,McAuley-Lab/Amazon-Reviews-2023
B00G1PRGQ4,"Jumbo Coco ""Abby"" Boots",Apparel,,,https://m.media-amazon.com/images/I/416FaSuHpSL._AC_.jpg,https://m.media-amazon.com/images/I/41xwE2G4d7L._AC_.jpg,https://www.amazon.com/dp/B00G1PRGQ4,McAuley-Lab/Amazon-Reviews-2023
B0BP2C2NN2,JeVenis Fairy Party Supplies Fairy Wings for Girls Princess Butterfly Costume Wings Fairy Wand Fairy Headband…,Apparel,,22.99,https://m.media-amazon.com/images/I/41hQrGtAkhL._AC_.jpg,https://m.media-amazon.com/images/I/41dtyf292fL._AC_.jpg,https://www.amazon.com/dp/B0BP2C2NN2,McAuley-Lab/Amazon-Reviews-2023
B085FS1ZDW,"Spinosaurus Swim Goggles, Swimming Goggles-Fashionable Anti UV Wide Frame Swim Goggles with Comfortable Water Proof Seal & Easy Adjustable Anti Fog for Adult Men & Women Youth (Black-Clear Lens)",Apparel,,,https://m.media-amazon.com/images/I/41mFW7B+j-L._AC_.jpg,https://m.media-amazon.com/images/I/51C+iP5jzRL._AC_.jpg,https://www.amazon.com/dp/B085FS1ZDW,McAuley-Lab/Amazon-Reviews-2023
B09Z6DNWLR,Moveshihua Leather Car key fob cover Repalcement for Remote Protector car key case,Apparel,,,https://m.media-amazon.com/images/I/5113D0ycwEL._AC_.jpg,https://m.media-amazon.com/images/I/51YP8Xm2XeL._AC_.jpg,https://www.amazon.com/dp/B09Z6DNWLR,McAuley-Lab/Amazon-Reviews-2023
B01EU7I1VS,"Castelli Cannondale Team 2.0 Full-Zip Jersey - Men's Black, XL",Apparel,,,https://m.media-amazon.com/images/I/415b+XRVGcL._AC_.jpg,,https://www.amazon.com/dp/B01EU7I1VS,McAuley-Lab/Amazon-Reviews-2023
B004POE9YA,Queenberry Sterling Silver Long Ear Smile Dog European Style Bead Charm,Apparel,,19.68,https://m.media-amazon.com/images/I/41P-+jO-sBL._AC_.jpg,,https://www.amazon.com/dp/B004POE9YA,McAuley-Lab/Amazon-Reviews-2023
B08S6VWCMT,Twotwowin Women's Summer Tops Casual Cotton V Neck Sport T Shirt Short Sleeve Blouse,Apparel,,,https://m.media-amazon.com/images/I/51tzXSCZlAL._AC_.jpg,,https://www.amazon.com/dp/B08S6VWCMT,McAuley-Lab/Amazon-Reviews-2023
B07121CX5H,Under Armour UA Stadium Flow LG Celery,Apparel,,,https://m.media-amazon.com/images/I/41qopNcLwsL._AC_.jpg,,https://www.amazon.com/dp/B07121CX5H,McAuley-Lab/Amazon-Reviews-2023
B07B8C1LKT,Doublju Classic Draped Open Front Blazer for Women with Plus Size Mauve 3XL,Apparel,,,https://m.media-amazon.com/images/I/418Ps859SYL._AC_.jpg,https://m.media-amazon.com/images/I/41I-zLZC1JL._AC_.jpg,https://www.amazon.com/dp/B07B8C1LKT,McAuley-Lab/Amazon-Reviews-2023
B01M1KAXSJ,"EPOCH Men's Patchwork Wool Blend Applejack Newsboy Hat with Socks (1910, X-Large)",Apparel,,,https://m.media-amazon.com/images/I/51oysSjGxNL._AC_.jpg,https://m.media-amazon.com/images/I/51hYBX-DVdL._AC_.jpg,https://www.amazon.com/dp/B01M1KAXSJ,McAuley-Lab/Amazon-Reviews-2023
B00T6IJ42C,Tibetan Dark Wood Small 6mm 216 Prayer Beads with Dharma Wheel Knot Tassel and a Charm (Lotus),Apparel,,,https://m.media-amazon.com/images/I/41KBeyNQS9L._AC_.jpg,https://m.media-amazon.com/images/I/31UpYsNYssL._AC_.jpg,https://www.amazon.com/dp/B00T6IJ42C,McAuley-Lab/Amazon-Reviews-2023
B076BTBCK3,"Samuume Women Elegant Solid Ruffle Sleeve Pencil Party Midi Wrap Dress (L, Orange)",Apparel,,,https://m.media-amazon.com/images/I/41FXD9PpmsL._AC_.jpg,https://m.media-amazon.com/images/I/41WVtkHmXnL._AC_.jpg,https://www.amazon.com/dp/B076BTBCK3,McAuley-Lab/Amazon-Reviews-2023
B08V4YG6YG,"Locryz Women's Loose Home Tshirt Dresses Short Sleeve Summer Casual Tunic Dress with Pocket (01 Caramel, X-Large, x_l)",Apparel,,,https://m.media-amazon.com/images/I/41BTCiZb6lL._AC_.jpg,,https://www.amazon.com/dp/B08V4YG6YG,McAuley-Lab/Amazon-Reviews-2023
B07WXTGW9N,"Claire's Club Leopard Hooded Scarf for Girls, Tan with Pink, One Size",Apparel,,,https://m.media-amazon.com/images/I/511PpkJRm3L._AC_.jpg,https://m.media-amazon.com/images/I/51wWOi1XW8L._AC_.jpg,https://www.amazon.com/dp/B07WXTGW9N,McAuley-Lab/Amazon-Reviews-2023
B07574ZBFW,Trendy Apparel Shop Flourescent Bright Color Structured Hunting Safety Baseball Cap - Mossy Oak,Apparel,,,https://m.media-amazon.com/images/I/51KtINIyVkL._AC_.jpg,https://m.media-amazon.com/images/I/51zlTkS4e5L._AC_.jpg,https://www.amazon.com/dp/B07574ZBFW,McAuley-Lab/Amazon-Reviews-2023
B07NXZC6CT,Aliex Women's Tunic Top Casual Short Sleeve T-Shirt Color Block Yellow L,Apparel,,,https://m.media-amazon.com/images/I/41NHO2aHgkL._AC_.jpg,,https://www.amazon.com/dp/B07NXZC6CT,McAuley-Lab/Amazon-Reviews-2023
B07B3ZMWK1,Freshwater Cultured Multi-pink Graduated 5-9.5mm Pearl Necklace 14K Yellow Gold Pendant Chain 18 inch,Apparel,,153.99,https://m.media-amazon.com/images/I/31bsc3D5kwL._AC_.jpg,https://m.media-amazon.com/images/I/51dGxZLwKUL._AC_.jpg,https://www.amazon.com/dp/B07B3ZMWK1,McAuley-Lab/Amazon-Reviews-2023
B01AY6AEEQ,Nike Dri-FIT Contour Red Mens Running Short Sleeve Top/T-Shirt Size XL,Apparel,,,https://m.media-amazon.com/images/I/317QtkHeqjL._AC_.jpg,https://m.media-amazon.com/images/I/41vU+4hgdpL._AC_.jpg,https://www.amazon.com/dp/B01AY6AEEQ,McAuley-Lab/Amazon-Reviews-2023
B07M94TN8T,Nickelodeon Shoes Black Girls' JoJo Legacee Knee-High Sneaker 13.5 Regular,Apparel,,,https://m.media-amazon.com/images/I/41kfz1t5JBL._AC_.jpg,https://m.media-amazon.com/images/I/411AFuVsLxL._AC_.jpg,https://www.amazon.com/dp/B07M94TN8T,McAuley-Lab/Amazon-Reviews-2023
B09KRDT77V,Ylikren Womens Cute Hedgehog Print Sweatshirt Round Neck Long-sleeved Hooded Sweatshirt Casual Blouse Pullover Tops,Apparel,,16.99,https://m.media-amazon.com/images/I/41D2Ht4ZRgL._AC_.jpg,https://m.media-amazon.com/images/I/41AFLtW3kiL._AC_.jpg,https://www.amazon.com/dp/B09KRDT77V,McAuley-Lab/Amazon-Reviews-2023
B01DJLTB4M,Favorite Characters Baby Boy's Disney Dory Slipper DOF201 (Toddler/Little Kid) Multi/Pink/Blue Medium M,Apparel,,,https://m.media-amazon.com/images/I/51BqO2VFnUL._AC_.jpg,https://m.media-amazon.com/images/I/41nn0FUIYPL._AC_.jpg,https://www.amazon.com/dp/B01DJLTB4M,McAuley-Lab/Amazon-Reviews-2023
B07F5FTZQ6,FREDD MARSHALL Men's Military Style Short Sleeve Button Down Shirt 100% Cotton White,Apparel,,,https://m.media-amazon.com/images/I/41YzLghDZfL._AC_.jpg,https://m.media-amazon.com/images/I/41BPrOqFdAL._AC_.jpg,https://www.amazon.com/dp/B07F5FTZQ6,McAuley-Lab/Amazon-Reviews-2023
B07PYP316X,GRACE KARIN Womens Elegant Ruffle Cape Bodycon Party Cocktail Pencil Dress Black XXL,Apparel,,,https://m.media-amazon.com/images/I/31CbeyAjVfL._AC_.jpg,https://m.media-amazon.com/images/I/31I0PJPVuNL._AC_.jpg,https://www.amazon.com/dp/B07PYP316X,McAuley-Lab/Amazon-Reviews-2023
B01KZOB99Q,Women Duster Cloak Cape Long Sleeve Lapel Collar Long Cardigan Jacket Trench Coat Grey S,Apparel,,,https://m.media-amazon.com/images/I/41NmL7FtGCL._AC_.jpg,https://m.media-amazon.com/images/I/41feKw8086L._AC_.jpg,https://www.amazon.com/dp/B01KZOB99Q,McAuley-Lab/Amazon-Reviews-2023
B0899SC3VZ,FAERLIIRY Surfer Heishi Layered Choker Necklace Open Hoop Earrings Elastic Stretch Bracelet Set Lightweight African Vinyl Disc Bead Summer Beach Jewelry Set for Woman Girls (A),Apparel,,,https://m.media-amazon.com/images/I/51i4EhYlx7L._AC_.jpg,https://m.media-amazon.com/images/I/41mGo7Wtw0L._AC_.jpg,https://www.amazon.com/dp/B0899SC3VZ,McAuley-Lab/Amazon-Reviews-2023
B0190GU35Q,"Agstum Fit Over Sunglasses Prescription Rx Glasses Polarized Lens (Matt black, Grey)",Apparel,,,https://m.media-amazon.com/images/I/31j2iAAhWpL._AC_.jpg,https://m.media-amazon.com/images/I/31aTlUMA8fL._AC_.jpg,https://www.amazon.com/dp/B0190GU35Q,McAuley-Lab/Amazon-Reviews-2023
B08CV6YK9B,MSBASIC Womens Casual Dress Short Sleeve Ruched Dress for Women Navy Floral XXL,Apparel,,,https://m.media-amazon.com/images/I/411l2UnhgrL._AC_.jpg,https://m.media-amazon.com/images/I/41NT4Tr2vxL._AC_.jpg,https://www.amazon.com/dp/B08CV6YK9B,McAuley-Lab/Amazon-Reviews-2023
B088132GVX,"Fashion Backpack For Women Medium Size Black for Women Girls Lightweight and Water Resistant (Small, Black) (PU0530 Black)",Apparel,,,https://m.media-amazon.com/images/I/51E56FaMBpL._AC_.jpg,https://m.media-amazon.com/images/I/51qt7JPqB1L._AC_.jpg,https://www.amazon.com/dp/B088132GVX,McAuley-Lab/Amazon-Reviews-2023
B08T5T764V,Arwser Women's Tie Dye Pajama Set with Shorts Long-sleeve Pullover Top Lounge Pj Set 2pcs Brown,Apparel,,,https://m.media-amazon.com/images/I/41iyhhQu4RS._AC_.jpg,https://m.media-amazon.com/images/I/51MwQILNnSS._AC_.jpg,https://www.amazon.com/dp/B08T5T764V,McAuley-Lab/Amazon-Reviews-2023
B0851HQ9NM,"Bonaluna Curved, Spiral, Wave Shaped & Matte Bar Lightweight Double Drop Threader Earrings for Women",Apparel,,,https://m.media-amazon.com/images/I/31znDrcE5EL._AC_.jpg,https://m.media-amazon.com/images/I/413ZNWR11oL._AC_.jpg,https://www.amazon.com/dp/B0851HQ9NM,McAuley-Lab/Amazon-Reviews-2023
B00L5J2DKK,Littleboutique Vintage Mid-heel Metallic D¡¯Osay Pumps Bridesmaid Shoes Evening Dress Heels Wedding Shoes silver 8,Apparel,,,https://m.media-amazon.com/images/I/511CvjJb6SL._AC_.jpg,https://m.media-amazon.com/images/I/51wK6YgOzJL._AC_.jpg,https://www.amazon.com/dp/B00L5J2DKK,McAuley-Lab/Amazon-Reviews-2023
B085L9CV2G,Ekouaer Womens Pockets Short Sleeve Nightshirts Cute Sleep Shirt Nightgown Cotton Loose Night Shirt (Carolina Blue XXL),Apparel,,,https://m.media-amazon.com/images/I/411J8IQkWYL._AC_.jpg,https://m.media-amazon.com/images/I/41YcektueiL._AC_.jpg,https://www.amazon.com/dp/B085L9CV2G,McAuley-Lab/Amazon-Reviews-2023
B00RVCN9PS,Bernie Mev CRYSTAL Multi Woven Comfort Casual Platform Wedge Heel Sandals,Apparel,,,https://m.media-amazon.com/images/I/51-8sGqqHPL._AC_.jpg,https://m.media-amazon.com/images/I/51NEkfBQ7RL._AC_.jpg,https://www.amazon.com/dp/B00RVCN9PS,McAuley-Lab/Amazon-Reviews-2023
B01K6PLHJQ,Graces Dawn Ultralight 8.1oz Compact UV Mini 6.7inch Sun Protection Clear Umbrella Portable Travel Pocket Five Folding Sun Umbrella (Pink),Apparel,,,https://m.media-amazon.com/images/I/41NTu2s04lL._AC_.jpg,https://m.media-amazon.com/images/I/41JvZHF8FbL._AC_.jpg,https://www.amazon.com/dp/B01K6PLHJQ,McAuley-Lab/Amazon-Reviews-2023
B074WW9F7J,"Women Vintage Floral Print V Neck 3/4 Sleeve Long Maxi Fitted Dress with Belt (XL, 001)",Apparel,,,https://m.media-amazon.com/images/I/41ZecATOB3L._AC_.jpg,,https://www.amazon.com/dp/B074WW9F7J,McAuley-Lab/Amazon-Reviews-2023
