asin,label,file,sha1,bytes
0743611098,Electronics,Electronics/0743611098.jpg,b7fc44e965fb8066b2a240a494f1417cc943826b,20586
1400532736,Electronics,Electronics/1400532736.jpg,be484d95e6c8be22feea56f2681ac511412379ac,10967
1574891758,Home,Home/1574891758.jpg,5bc740f4b1c43b734357794378c11088759cb0c2,20846
1616599200,Home,Home/1616599200.jpg,c4d9e29c496ae5a89c645c45bbd03dfdd204670f,11071
1947758527,Electronics,Electronics/1947758527.jpg,545b00ef3bf1abfbc2832d3c963cc62aed70ae54,19088
3836523094,Electronics,Electronics/3836523094.jpg,fabc957b5ed4b31ffa850458e2ee806e7d383aa9,17298
5550038900,Electronics,Electronics/5550038900.jpg,195fa54abf3a9d855349bf1626da7da3a2d8ec96,16798
5634000076,Home,Home/5634000076.jpg,d41efddd27ae9c9984f1935e7b6e0cd2d06cb791,10921
6152004349,Apparel,Apparel/6152004349.jpg,8d5e152faf2dc1558d51ffcb8991e10f123aeee5,16937
8394536204,Apparel,Apparel/8394536204.jpg,30e4f2e377e17c2da2fea614c3e4a43281c045c1,13950
9985691326,Electronics,Electronics/9985691326.jpg,09028d9a7e084c00536e11db75891d09dee480ce,8864
B000001OMT,Electronics,Electronics/B000001OMT.jpg,dc8d18a07791f4462e09cfb620bae9f91e642ad6,11859
B00000J05J,Electronics,Electronics/B00000J05J.jpg,904f48e2815288a76e02ecacb35f38d5ad817bfd,10783
B00000J1QH,Electronics,Electronics/B00000J1QH.jpg,5e52f6d5a6458ffdc743870431842f01108d9939,12192
B00000J3NC,Electronics,Electronics/B00000J3NC.jpg,2222323e64c1b4819dba287880fafd503dbf97f0,11442
B00001T38H,Electronics,Electronics/B00001T38H.jpg,613e1f386c19377602a7e5f24e3ebf587b400c16,12967
B00001X4Z5,Electronics,Electronics/B00001X4Z5.jpg,d28188e43447c619a10b6024a682f3a67e5f6229,7113
B00002JUZ9,Electronics,Electronics/B00002JUZ9.jpg,396ce4e608acf8e42d7ace432e24d4546c3799d2,9170
B00004R91U,Home,Home/B00004R91U.jpg,33caff52fd290e16f463cba9c9dd55c3b5dba31c,4488
B00004RFLK,Home,Home/B00004RFLK.jpg,9fd9291245b0b67bbcce73a2195e9a2a377c54f3,2485
B00004S7PO,Electronics,Electronics/B00004S7PO.jpg,27b0bde0e002d84e399502a74e86b85561320e82,9105
B00004SCIX,Electronics,Electronics/B00004SCIX.jpg,e908669ad92edb9fd1c9bab0338dc6d220fe6cdb,12196
B00004T2LR,Electronics,Electronics/B00004T2LR.jpg,94b3bbcf7bdd27159c322c2ebfb4973682dee778,10927
B00004THD4,Electronics,Electronics/B00004THD4.jpg,c12eb3444b7ce3f4c8859d8f0b4abe84ae4b12a5,8181
B00004TWLZ,Electronics,Electronics/B00004TWLZ.jpg,e44ddce7517448998e6f22ccbd3babb6ffece662,19320
B00004TX6I,Electronics,Electronics/B00004TX6I.jpg,c2dc5e72835898145c09f66343462cd9258ab862,16558
B00004U4S7,Electronics,Electronics/B00004U4S7.jpg,2cd36bea17e1b105f0b0b9ed2ee54abf1cb8fe48,13017
B00004UE78,Home,Home/B00004UE78.jpg,1a7f6c8917c99b6a93077e756ff10556e1733215,6885
B00004WGT9,Electronics,Electronics/B00004WGT9.jpg,abcc712850db28a8b1c173544fe9c9f6d758888e,12564
B00004Y2R8,Electronics,Electronics/B00004Y2R8.jpg,e7f3a4f1d645c0af69afd9354ef6330b0d9c7d29,18548
B00004Y3TN,Electronics,Electronics/B00004Y3TN.jpg,18d9ab341f0fa26d85b1c26bb7d15ac05aa0cf2e,9403
B00005042X,Electronics,Electronics/B00005042X.jpg,0d4fa3ca9d21e296011fe5d55c5a566ffb36543b,16386
B000059OP0,Electronics,Electronics/B000059OP0.jpg,930d02fb40c198ef6affb7a91fceee2d29b2efde,10401
B00005AUJY,Electronics,Electronics/B00005AUJY.jpg,891daf1cb6660b783b976086b5abc111f48dae72,7708
B00005JO39,Electronics,Electronics/B00005JO39.jpg,add41521bd4b5d90eb695d5286779efbb6db312a,8858
B00005LE71,Electronics,Electronics/B00005LE71.jpg,9b2c1f09af3de3b3cf17d84f09cc9224796d6f8f,18813
B00005LELT,Electronics,Electronics/B00005LELT.jpg,31a3063bdbde7313b48c24fde6d41df9e84804c9,11103
B00005LLVP,Electronics,Electronics/B00005LLVP.jpg,757e7edd8bdfb229056cbe8c1492471cd7ef57c2,5146
B00005LVVF,Home,Home/B00005LVVF.jpg,1ff3ee72dd007e0638623ad0144b73b670bb1cd7,13389
B00005ML6Q,Electronics,Electronics/B00005ML6Q.jpg,ca688695a299a36f165afebd79af780c9fdcbe15,4870
B00005NCWB,Electronics,Electronics/B00005NCWB.jpg,483bf853c42384900d09ed6f614465deaee8a157,2449
B00005QFPE,Home,Home/B00005QFPE.jpg,ea3186ee0d016036899d3119f304eb5f7103122e,7611
B00005T3IU,Electronics,Electronics/B00005T3IU.jpg,7e0e139f19a1f6bd627decd6b5870661e8f32ca9,13243
B00005T7CD,Electronics,Electronics/B00005T7CD.jpg,d5cc8dbae187914628ae99835291e2cfa43f7bf3,7168
B00005V9Q9,Electronics,Electronics/B00005V9Q9.jpg,ea0dc902a2dd95ef0412700b20e536edc947ec09,12052
B00005Y3RI,Electronics,Electronics/B00005Y3RI.jpg,ac32c372a545467834f42a2430d11a9750dafe43,11714
B000060JYU,Electronics,Electronics/B000060JYU.jpg,8f085da1af2fdc37abfa278debd42ac3f3289930,11343
B000060K3T,Home,Home/B000060K3T.jpg,d856656ed312de7707c583f7e3e4fb12086c25af,4234
B00006688V,Electronics,Electronics/B00006688V.jpg,8baefa1d0731fc664719610570ea35cdd1c319d2,15249
B000067RQB,Electronics,Electronics/B000067RQB.jpg,fa36c935ff4202a880e2d1625ea81695841b476a,8456
B000067TTA,Electronics,Electronics/B000067TTA.jpg,3b547940efec79e0b515be7dede3844238e36ac1,2751
B000068CNU,Electronics,Electronics/B000068CNU.jpg,abf8e180f49021b3416ba5e2bb20b9764efa8a8c,10897
B000068OEN,Electronics,Electronics/B000068OEN.jpg,da43f4c597b7e1c614dbdcf2ea1af3b9443f1165,6761
B000069BFI,Home,Home/B000069BFI.jpg,a79970b48a1f2fe4c91e395c52b050fb1138573d,7123
B00006B71A,Electronics,Electronics/B00006B71A.jpg,0c7e6949be374f1636981f60e735b05769b03ff4,10890
B00006B8MX,Electronics,Electronics/B00006B8MX.jpg,380a430bcffbbf419f0fd55e5b126d00f79955b8,13049
B00006B8NI,Electronics,Electronics/B00006B8NI.jpg,8ebe511607a61b2bfd1aace4f5b0dd870a2d0eb6,14558
B00006B9GE,Electronics,Electronics/B00006B9GE.jpg,3fd957dfbdb071db51bab06ed38dc620585af87f,9717
B00006B9WC,Electronics,Electronics/B00006B9WC.jpg,fcf30f026008a1dbd737154a81842720233bb446,13481
B00006BBI9,Electronics,Electronics/B00006BBI9.jpg,3124085f2ada48965ee3c38bb973599408117202,3807
